Rank,Frequency_Hz,Amplitude
1,159.60000000000002,0.014436202195159427
2,189.60000000000002,0.004268555620073296
3,289.20000000000005,0.004087606689040625
4,147.60000000000002,0.003119046742439935
5,235.20000000000005,0.0029262888135130785
6,218.40000000000003,0.002533860227646548
7,120.00000000000001,0.002513453893162479
8,240.00000000000003,0.002316998634555537
9,261.6,0.0019618729569784144
10,248.40000000000003,0.001742485315365726
11,175.20000000000002,0.001654870270109739
12,277.20000000000005,0.0015965596177365106
13,58.80000000000001,0.0013953240067527523
